status,open,close,type,account_id,client_id
Active,2011-05-09,,Brokerage,54,17
Active,2015-12-30,,Roth 401(k),55,17
Active,2007-09-01,,Brokerage,56,18
Active,2013-12-09,,Traditional IRA,57,18
Active,2017-03-08,,Roth IRA,58,19
Active,2015-11-24,,529,59,19
Active,2018-07-21,,Traditional IRA,60,19
Active,2015-07-02,,Roth 401(k),61,19
Inactive,2014-09-04,2015-12-09,Brokerage,62,19
Active,2007-04-16,,Brokerage,63,20
Active,2015-08-07,,Roth 401(k),64,20
Active,2016-03-27,,Roth IRA,65,20
Active,2010-05-29,,Traditional IRA,66,20
Active,2011-12-23,,529,67,21
Active,2011-08-07,,Roth IRA,68,21
Active,2008-01-16,,Brokerage,69,21
Active,2015-04-08,,Roth 401(k),70,21
Active,2003-08-29,,Traditional IRA,71,21
Active,2012-12-07,,Traditional IRA,72,22
Active,2017-01-18,,Roth IRA,73,23
Active,2017-06-21,,Traditional IRA,74,23
Active,2012-05-22,,529,75,23
Active,2015-05-22,,Roth 401(k),76,23
Active,2013-02-13,,Roth IRA,77,24
Active,2017-08-25,,Traditional IRA,78,24
Active,2013-10-10,,Roth 401(k),79,24
Active,2016-01-18,,Roth 401(k),80,25
Active,2008-10-26,,Traditional IRA,81,25
Active,2013-09-14,,529,82,25
Active,2011-03-15,,Brokerage,83,25
Active,2015-03-14,,Brokerage,84,26
Active,2016-09-11,,Traditional IRA,85,26
Active,2013-10-10,,Roth IRA,86,27
Active,2014-03-08,,Brokerage,87,27
Active,2013-10-18,,529,88,27
Inactive,2015-08-24,2016-05-15,Roth 401(k),89,27
Active,2014-10-09,,Traditional IRA,90,27
Active,2018-05-25,,Roth IRA,91,28
Active,2017-05-04,,529,92,29
Active,2015-12-04,,Brokerage,93,29
Active,2018-03-19,,Roth 401(k),94,29
Active,2011-04-15,,Roth 401(k),95,30
Inactive,2004-07-04,2017-12-06,529,96,31
Active,2017-10-10,,Brokerage,97,31
Active,2016-02-11,,Roth 401(k),98,31
Inactive,2009-04-20,2015-03-07,Roth IRA,99,31
Active,2012-03-23,,Brokerage,100,32
Active,2016-09-26,,529,101,32
Active,2014-05-06,,Roth IRA,102,32
Active,2015-07-08,,Traditional IRA,103,32
Active,2017-10-27,,Roth 401(k),104,32
Active,2016-11-16,,Brokerage,105,33
Active,2013-05-25,,Brokerage,106,34
Active,2017-12-12,,Roth IRA,107,34
Active,2008-07-12,,529,108,34
Active,2016-11-28,,Roth 401(k),109,35
Active,2014-05-09,,Roth IRA,110,36
Active,2013-11-14,,Traditional IRA,111,36
Active,2011-09-07,,529,112,36
Active,2017-11-26,,Traditional IRA,113,37
Active,2018-04-20,,529,114,38
Inactive,2018-06-03,2018-10-15,Roth IRA,115,38
Active,2011-12-04,,Brokerage,116,38
Inactive,2018-05-22,2018-09-27,Roth 401(k),117,38
Active,2014-12-11,,Traditional IRA,118,38
Active,2010-05-06,,529,119,39
Active,2009-01-05,,Roth IRA,120,39
Active,2015-09-16,,Brokerage,121,40
Active,2016-09-16,,Roth 401(k),122,41
Active,2016-09-11,,Traditional IRA,123,41
Active,2014-04-16,,Roth IRA,124,41
Inactive,2012-06-21,2013-07-22,529,125,41
Active,2013-11-12,,Brokerage,126,41
Active,2018-07-20,,Roth 401(k),127,42
Active,2007-08-26,,Roth IRA,128,42
Active,2018-02-16,,Brokerage,129,42
Active,2015-09-28,,529,130,42
Active,2015-05-20,,Roth IRA,131,43
Active,2015-12-29,,529,132,43
Active,2018-02-02,,Brokerage,133,43
Active,2014-05-21,,Roth 401(k),134,43
Active,2013-01-21,,Traditional IRA,135,43
Active,2015-03-14,,529,136,44
Active,2011-01-16,,Roth IRA,137,45
Active,2012-07-19,,529,138,45
Active,2009-12-16,,Traditional IRA,139,45
Active,2017-09-20,,Roth 401(k),140,45
Active,2006-01-05,,Roth 401(k),141,46
Active,2016-07-13,,529,142,46
Active,2006-08-14,,Roth IRA,143,46
Active,2011-12-05,,Traditional IRA,144,46
Active,2015-10-23,,Roth 401(k),145,47
Active,2015-08-28,,529,146,47
Active,2010-04-08,,Brokerage,147,48
Inactive,2010-08-05,2016-07-25,529,148,48
Active,2010-12-02,,Traditional IRA,149,48
Active,2011-09-20,,Roth IRA,150,48
Active,2018-01-16,,Roth 401(k),151,49
Active,2018-06-16,,529,152,49
Active,2018-02-13,,Brokerage,153,49
Active,2018-05-31,,Traditional IRA,154,49
Active,2007-03-21,,529,155,50
Active,2009-11-01,,Roth IRA,156,50
Active,2017-05-31,,Roth IRA,157,51
Inactive,2016-04-21,2018-09-09,Brokerage,158,52
Active,2009-12-20,,Traditional IRA,159,52
Active,2007-04-18,,529,160,52
Active,2017-09-30,,Brokerage,161,53
Active,2017-08-24,,529,162,53
Active,2017-03-26,,529,163,54
Active,2015-09-02,,Traditional IRA,164,54
Active,2008-11-26,,Roth IRA,165,54
Active,2015-04-07,,529,166,55
Inactive,2016-08-30,2017-12-05,Roth 401(k),167,55
Active,2015-10-22,,Roth IRA,168,55
Active,2016-12-10,,Brokerage,169,55
Active,2017-11-15,,Traditional IRA,170,55
Inactive,2014-09-20,2016-12-03,529,171,56
Active,2003-03-14,,Brokerage,172,56
Active,2018-07-05,,529,173,57
Active,2017-09-20,,Roth IRA,174,57
Active,2013-11-19,,Roth IRA,175,58
Active,2018-04-09,,529,176,58
Active,2014-03-06,,Roth 401(k),177,58
Active,2015-02-26,,Roth IRA,178,59
Active,2012-09-16,,Brokerage,179,59
Active,2017-02-02,,Traditional IRA,180,59
Active,2017-04-21,,Traditional IRA,181,60
Active,2018-01-14,,Brokerage,182,60
Active,2016-04-12,,Brokerage,183,61
Active,2015-07-02,,Traditional IRA,184,61
Active,2017-10-22,,Brokerage,185,62
Active,2017-12-02,,529,186,62
Active,2017-07-12,,Roth 401(k),187,62
Active,2012-09-18,,Traditional IRA,188,62
Inactive,2016-10-17,2018-07-26,Roth IRA,189,62
Inactive,2008-04-06,2009-03-12,529,190,63
Active,2005-01-15,,Traditional IRA,191,63
Active,2017-09-26,,Roth IRA,192,63
Active,2018-03-19,,Traditional IRA,193,64
Active,2006-10-21,,Brokerage,194,64
Inactive,2013-02-24,2015-04-02,Roth IRA,195,64
Inactive,2011-10-05,2015-04-20,Roth 401(k),196,64
Active,2006-10-19,,529,197,65
Active,2018-01-31,,529,198,66
Active,2017-05-30,,Roth 401(k),199,66
Active,2017-02-13,,Brokerage,200,66
Active,2016-04-10,,Roth IRA,201,66
Active,2012-12-24,,Traditional IRA,202,67
Active,2013-08-26,,Brokerage,203,67
Active,2018-07-03,,Roth IRA,204,68
Active,2018-03-25,,Traditional IRA,205,68
Active,2017-06-10,,Roth IRA,206,69
Active,2004-06-06,,Roth 401(k),207,70
Active,2015-11-07,,Roth 401(k),208,71
Inactive,2011-10-08,2015-07-25,Traditional IRA,209,71
Active,2017-08-11,,Brokerage,210,72
Active,2014-07-30,,Roth 401(k),211,72
Active,2017-01-14,,Traditional IRA,212,73
Active,2016-11-20,,Roth IRA,213,73
Active,2016-04-18,,529,214,73
Active,2018-05-09,,Brokerage,215,73
Active,2008-08-12,,Roth IRA,216,74
Active,2010-02-19,,Brokerage,217,74
Active,2014-01-03,,Traditional IRA,218,75
Active,2013-07-08,,Roth 401(k),219,75
Active,2015-08-21,,Roth IRA,220,75
Active,2014-11-10,,Brokerage,221,75
Active,2011-10-05,,529,222,75
Active,2012-06-24,,529,223,76
Active,2016-11-02,,Traditional IRA,224,76
Active,2015-01-10,,Brokerage,225,76
Active,2006-01-14,,529,226,77
Active,2015-08-20,,Roth 401(k),227,78
Active,2016-03-14,,Brokerage,228,78
Active,2012-06-23,,Roth IRA,229,78
Active,2012-04-21,,Brokerage,230,79
Inactive,2012-09-20,2014-01-04,Roth 401(k),231,79
Inactive,2017-04-02,2018-06-30,Roth IRA,232,79
Active,2013-03-07,,Traditional IRA,233,79
Active,2011-12-03,,Roth 401(k),234,80
Active,2012-11-23,,Traditional IRA,235,80
Active,2014-07-25,,Roth IRA,236,80
Active,2009-09-05,,Brokerage,237,80
Active,2011-11-13,,529,238,81
Active,2012-11-01,,Brokerage,239,81
Active,2007-08-27,,Roth IRA,240,81
Inactive,2006-07-10,2017-07-29,Traditional IRA,241,81
Active,2009-10-17,,Brokerage,242,82
Active,2017-08-10,,Traditional IRA,243,83
Active,2013-10-14,,Roth 401(k),244,84
Active,2008-04-18,,529,245,84
Active,2015-11-30,,Roth IRA,246,84
Active,2013-12-05,,Traditional IRA,247,84
Active,2012-09-30,,Traditional IRA,248,85
Active,2015-09-06,,Brokerage,249,85
Inactive,2008-09-12,2014-10-23,Roth 401(k),250,85
Active,2017-03-24,,Brokerage,251,86
Inactive,2003-12-07,2017-05-12,Roth 401(k),252,86
Active,2001-06-23,,Traditional IRA,253,86
Inactive,2003-11-18,2016-09-22,529,254,86
Active,2008-12-12,,Roth IRA,255,87
Active,2011-09-22,,Brokerage,256,88
Active,2011-02-20,,Roth IRA,257,88
Active,2011-07-27,,Traditional IRA,258,88
Active,2011-05-05,,Roth 401(k),259,89
Active,2017-05-09,,529,260,89
Active,2016-11-29,,Roth 401(k),261,90
Active,2016-03-09,,529,262,90
Active,2011-04-16,,Traditional IRA,263,90
Inactive,2014-09-16,2016-03-30,Brokerage,264,90
Active,2012-03-08,,Roth IRA,265,90
Active,2007-06-14,,Traditional IRA,266,91
Active,2010-12-30,,529,267,91
Active,2004-05-15,,Roth IRA,268,91
Active,2017-11-15,,Roth 401(k),269,91
Active,2013-12-17,,Brokerage,270,91
Active,2010-09-02,,529,271,92
Active,2011-11-05,,Traditional IRA,272,92
Active,2017-05-06,,Brokerage,273,93
Active,2006-10-02,,529,274,93
Active,2014-12-11,,Roth 401(k),275,93
Active,2012-07-13,,Traditional IRA,276,93
Inactive,2017-03-17,2018-03-30,Traditional IRA,277,94
Active,2013-06-16,,529,278,94
Active,2016-12-14,,Roth 401(k),279,94
Active,2018-04-27,,Brokerage,280,94
Active,2004-01-07,,Brokerage,281,95
Active,2005-02-04,,529,282,95
Active,2006-09-28,,Roth IRA,283,95
Active,2004-02-08,,Roth 401(k),284,95
Active,2011-12-03,,Roth 401(k),285,96
Active,2018-02-22,,Brokerage,286,97
Active,2017-11-03,,Roth 401(k),287,97
Active,2018-01-21,,Roth IRA,288,97
Active,2017-11-07,,Traditional IRA,289,97
Active,2017-12-18,,529,290,97
Inactive,2007-12-23,2017-09-18,Brokerage,291,98
Active,2007-09-16,,Roth 401(k),292,98
Active,2004-09-12,,Roth IRA,293,98
Active,2014-12-30,,Roth IRA,294,99
Inactive,2016-11-21,2018-01-02,Roth 401(k),295,99
Active,2013-06-24,,Brokerage,296,99
Active,2015-05-31,,Traditional IRA,297,99
Active,2015-09-10,,529,298,99
Active,2017-08-06,,Traditional IRA,299,100
Active,2015-05-14,,Brokerage,300,101
Active,2011-02-23,,Traditional IRA,301,102
Active,2008-05-21,,Brokerage,302,102
Inactive,2016-08-26,2018-03-30,529,303,102
Active,2018-04-12,,529,304,103
Active,2017-12-29,,Roth IRA,305,103
Active,2009-09-13,,Traditional IRA,306,104
Active,2017-01-20,,Brokerage,307,105
Active,2017-03-24,,529,308,105
Active,2017-09-08,,Roth IRA,309,105
Active,2006-04-12,,Roth 401(k),310,106
Active,2016-11-23,,529,311,106
Active,2003-10-24,,Brokerage,312,106
Active,2017-06-26,,Traditional IRA,313,107
Active,2013-06-07,,Brokerage,314,107
Active,2005-06-22,,Roth 401(k),315,107
Active,2014-08-20,,529,316,107
Active,2007-07-11,,Traditional IRA,317,108
Inactive,2003-09-22,2014-10-17,Roth 401(k),318,108
Active,2013-02-17,,Traditional IRA,319,109
Active,2016-08-07,,Roth IRA,320,109
Active,2016-09-16,,529,321,110
Active,2010-01-18,,Roth 401(k),322,111
Active,2014-09-26,,Roth IRA,323,111
Active,2017-10-17,,529,324,111
Inactive,2015-11-06,2017-11-30,Traditional IRA,325,111
Active,2015-08-27,,Traditional IRA,326,112
Active,2005-06-16,,Roth 401(k),327,113
Inactive,2012-10-18,2017-01-25,Traditional IRA,328,113
Active,2010-07-22,,Brokerage,329,113
Active,2007-06-10,,Roth IRA,330,113
Active,2015-03-18,,529,331,114
Active,2011-07-29,,Traditional IRA,332,114
Active,2017-01-02,,Brokerage,333,114
Active,2007-06-18,,Roth 401(k),334,114
Inactive,2015-07-14,2018-10-29,529,335,115
Active,2015-04-21,,Roth 401(k),336,115
Active,2018-06-25,,Roth IRA,337,115
Active,2014-10-31,,Traditional IRA,338,115
Active,2013-06-10,,Roth 401(k),339,116
Active,2015-08-04,,529,340,116
Active,2014-03-26,,Brokerage,341,116
Active,2017-08-13,,Roth 401(k),342,117
Active,2017-08-26,,Roth IRA,343,117
Active,2017-12-02,,Traditional IRA,344,117
Active,2018-05-05,,Brokerage,345,117
Inactive,2018-06-07,2018-10-03,Roth 401(k),346,118
Active,2015-07-01,,Roth IRA,347,118
Active,2014-09-15,,529,348,119
Active,2016-07-13,,Traditional IRA,349,119
Active,2012-03-03,,Roth IRA,350,119
Active,2016-12-13,,Roth 401(k),351,119
Active,2012-06-10,,529,352,120
Active,2018-03-03,,Traditional IRA,353,121
Active,2002-06-23,,Roth 401(k),354,121
Inactive,2007-04-06,2014-11-30,529,355,122
Active,2001-06-13,,Traditional IRA,356,122
Active,2017-11-22,,Traditional IRA,357,123
Inactive,2017-07-28,2017-11-09,529,358,124
Active,2018-03-01,,Roth IRA,359,124
Inactive,2013-08-15,2018-10-09,Roth 401(k),360,124
Inactive,2014-08-16,2016-05-30,529,361,125
Active,2013-06-11,,Roth IRA,362,125
Active,2007-03-06,,Traditional IRA,363,125
Active,2008-03-28,,Roth 401(k),364,125
Active,2018-01-17,,Traditional IRA,365,126
Active,2012-04-03,,Traditional IRA,366,127
Active,2014-03-10,,Roth 401(k),367,127
Inactive,2013-08-17,2013-12-24,529,368,127
Active,2016-03-22,,Brokerage,369,127
Active,2010-09-13,,Roth IRA,370,127
Active,2018-01-23,,Roth IRA,371,128
Active,2018-07-17,,Brokerage,372,128
Active,2017-09-11,,Roth 401(k),373,128
Active,2018-06-29,,Traditional IRA,374,128
Active,2015-10-27,,Roth IRA,375,129
Active,2017-12-22,,Traditional IRA,376,129
Active,2012-09-04,,529,377,129
Active,2016-10-03,,Brokerage,378,130
Active,2010-07-18,,Roth IRA,379,131
Active,2005-08-19,,529,380,131
Active,2018-07-02,,Brokerage,381,131
Inactive,2006-04-08,2012-01-14,Roth 401(k),382,131
Active,2015-02-11,,Traditional IRA,383,131
Active,2017-08-13,,Brokerage,384,132
Active,2009-12-22,,Roth IRA,385,133
Active,2017-12-15,,529,386,133
Active,2004-02-08,,Traditional IRA,387,133
Active,2016-01-11,,Roth 401(k),388,133
Active,2010-06-27,,Brokerage,389,133
Active,2015-07-31,,Roth 401(k),390,134
Active,2016-01-29,,Brokerage,391,134
Active,2018-01-03,,529,392,135
Active,2009-08-21,,Traditional IRA,393,135
Active,2017-12-15,,529,394,136
Active,2015-02-18,,Traditional IRA,395,137
Active,2017-02-03,,Roth IRA,396,137
Active,2016-09-22,,Brokerage,397,137
Inactive,2014-06-10,2016-05-19,529,398,137
Active,2017-02-09,,Roth 401(k),399,137
Active,2009-02-22,,Brokerage,400,138
Active,2005-09-21,,Traditional IRA,401,138
Active,2010-03-03,,Traditional IRA,402,139
Active,2018-06-02,,Brokerage,403,140
Active,2018-06-02,,529,404,140
Inactive,2018-02-23,2018-06-25,Traditional IRA,405,140
Active,2016-07-17,,529,406,141
Active,2017-05-02,,Roth IRA,407,142
Active,2010-03-09,,Roth 401(k),408,142
Active,2014-07-12,,Roth 401(k),409,143
Inactive,2018-03-19,2018-10-12,Traditional IRA,410,144
Active,2014-02-26,,Traditional IRA,411,145
Active,2015-07-01,,Roth 401(k),412,145
Active,2013-12-17,,529,413,145
Active,2017-11-26,,Roth 401(k),414,146
Active,2003-04-23,,Brokerage,415,146
Active,2004-11-16,,529,416,146
Active,2017-09-20,,Traditional IRA,417,147
Active,2012-09-20,,Roth 401(k),418,147
Active,2016-02-28,,529,419,148
Active,2010-01-01,,Roth 401(k),420,148
Active,2017-06-27,,Brokerage,421,149
Active,2017-09-22,,Brokerage,422,150
Active,2007-08-29,,Roth IRA,423,150
Active,2016-06-29,,Roth 401(k),424,150
Active,2010-08-25,,Traditional IRA,425,150
Active,2015-05-16,,529,426,150
Active,2010-06-18,,Roth IRA,427,151
Active,2012-12-06,,Traditional IRA,428,151
Active,2017-09-30,,Brokerage,429,151
Active,2018-01-18,,529,430,151
Active,2012-01-12,,Roth 401(k),431,151
Active,2016-10-02,,Traditional IRA,432,152
Inactive,2015-08-12,2017-12-14,529,433,152
Active,2011-01-28,,Roth IRA,434,152
Active,2017-10-07,,Roth 401(k),435,152
Inactive,2005-10-26,2013-09-10,Traditional IRA,436,153
Active,2008-06-21,,529,437,153
Active,2003-10-11,,Brokerage,438,153
Active,2015-09-30,,Roth 401(k),439,153
Active,2011-06-03,,Roth IRA,440,153
Active,2017-01-25,,529,441,154
Active,2016-10-19,,Brokerage,442,154
Active,2011-05-19,,Brokerage,443,155
Active,2010-03-24,,Roth 401(k),444,156
Active,2016-10-22,,Brokerage,445,156
Active,2011-12-10,,Traditional IRA,446,156
Active,2017-03-03,,Roth IRA,447,156
Active,2015-07-10,,Roth 401(k),448,157
Active,2009-05-02,,Roth 401(k),449,158
Active,2009-02-21,,Brokerage,450,158
Active,2008-02-20,,Traditional IRA,451,158
Active,2014-10-28,,Roth IRA,452,158
Active,2006-11-08,,529,453,158
Inactive,2002-08-04,2006-12-03,529,454,159
Active,2014-06-04,,Brokerage,455,160
Inactive,2009-11-24,2014-04-24,Traditional IRA,456,160
Active,2011-12-01,,Roth IRA,457,160
Active,2010-07-14,,Roth 401(k),458,160
Active,2011-06-23,,529,459,160
Active,2014-04-28,,529,460,161
Active,2012-01-15,,Brokerage,461,161
Active,2017-01-04,,Traditional IRA,462,161
Active,2008-03-16,,Roth IRA,463,161
Active,2017-11-04,,Brokerage,464,162
Inactive,2016-10-16,2018-04-24,Traditional IRA,465,162
Active,2012-03-18,,529,466,162
Active,2013-07-20,,Roth IRA,467,162
Active,2013-11-16,,Roth 401(k),468,162
Active,2007-09-26,,529,469,163
Active,2016-12-08,,Roth 401(k),470,163
Active,2013-05-14,,Brokerage,471,163
Active,2010-06-04,,Roth IRA,472,163
Active,2015-05-17,,Traditional IRA,473,163
Active,2013-11-27,,Roth 401(k),474,164
Active,2006-01-29,,Traditional IRA,475,164
Active,2011-05-15,,Traditional IRA,476,165
Inactive,2007-11-22,2015-09-03,Roth IRA,477,165
Active,2017-01-02,,Brokerage,478,166
Active,2017-08-22,,Roth IRA,479,166
Active,2014-06-14,,Traditional IRA,480,166
Active,2012-11-08,,Roth 401(k),481,166
Active,2018-05-04,,Brokerage,482,167
Active,2013-10-08,,Roth 401(k),483,167
Active,2015-12-16,,529,484,167
Active,2014-03-31,,Roth IRA,485,167
Active,2017-11-29,,Roth IRA,486,168
Active,2018-02-14,,Traditional IRA,487,168
Active,2017-11-25,,Roth 401(k),488,168
Active,2015-12-03,,Brokerage,489,168
Active,2016-12-22,,Roth 401(k),490,169
Active,2017-01-02,,Brokerage,491,169
Active,2016-11-08,,529,492,169
Active,2015-05-06,,529,493,170
Active,2018-04-09,,Brokerage,494,171
Active,2017-01-29,,Roth 401(k),495,171
Inactive,2018-06-11,2018-10-01,Traditional IRA,496,171
Active,2018-02-20,,Roth IRA,497,171
Active,2017-02-27,,529,498,171
Active,2015-10-29,,Brokerage,499,172
Active,2014-03-30,,Roth IRA,500,172
Active,2015-12-04,,529,501,172
Active,2011-09-12,,Roth 401(k),502,172
Active,2011-09-20,,Traditional IRA,503,172
Active,2010-12-20,,Roth 401(k),504,173
Active,2017-04-10,,529,505,173
Active,2014-08-12,,Traditional IRA,506,173
Active,2015-08-03,,Roth IRA,507,173
Active,2013-12-07,,Brokerage,508,173
Active,2017-11-17,,Roth IRA,509,174
Active,2017-02-28,,529,510,174
Active,2017-11-05,,Traditional IRA,511,174
Active,2017-09-12,,Roth 401(k),512,174
Active,2018-06-21,,Brokerage,513,174
Active,2016-09-06,,Traditional IRA,514,175
Active,2012-10-02,,Roth 401(k),515,175
Active,2017-06-16,,Traditional IRA,516,176
Active,2018-07-04,,Traditional IRA,517,177
Active,2003-05-12,,Brokerage,518,178
Active,2015-11-01,,529,519,178
Active,2006-05-15,,Roth 401(k),520,178
Active,2014-08-28,,Roth IRA,521,179
Active,2016-11-11,,Brokerage,522,179
Active,2009-07-14,,529,523,179
Active,2007-04-21,,Traditional IRA,524,179
Active,2007-10-11,,Roth 401(k),525,179
Active,2017-10-24,,Brokerage,526,180
Active,2016-11-26,,Roth IRA,527,180
Active,2016-11-17,,529,528,180
Active,2015-09-03,,Roth IRA,529,181
Active,2017-04-14,,Roth 401(k),530,181
Inactive,2018-03-22,2018-08-25,Brokerage,531,181
Active,2015-06-18,,Roth IRA,532,182
Active,2016-12-03,,529,533,182
Active,2013-02-24,,Brokerage,534,182
Active,2012-09-29,,Roth 401(k),535,183
Inactive,2017-10-08,2018-05-29,Brokerage,536,183
Active,2016-09-11,,Roth 401(k),537,184
Active,2015-12-25,,529,538,184
Active,2013-05-24,,Roth IRA,539,184
Active,2015-11-10,,Traditional IRA,540,184
Active,2016-07-24,,Brokerage,541,185
Active,2010-04-20,,Traditional IRA,542,185
Active,2011-05-12,,Roth IRA,543,185
Active,2017-10-08,,529,544,185
Active,2009-04-16,,Roth 401(k),545,185
Active,2011-08-31,,Traditional IRA,546,186
Active,2017-05-29,,Roth 401(k),547,187
Active,2016-12-26,,Brokerage,548,187
Active,2017-06-16,,Traditional IRA,549,187
Active,2012-07-02,,Traditional IRA,550,188
Active,2013-06-22,,Roth IRA,551,188
Inactive,2017-09-18,2018-08-22,529,552,188
Active,2018-07-04,,529,553,189
Inactive,2018-05-09,2018-08-18,Roth 401(k),554,189
Inactive,2009-04-15,2012-01-06,Brokerage,555,190
Inactive,2014-12-12,2016-08-13,529,556,190
Active,2005-12-13,,Roth 401(k),557,190
Active,2011-02-19,,Traditional IRA,558,190
Active,2005-10-21,,Roth IRA,559,190
Active,2010-08-26,,Traditional IRA,560,191
Active,2018-02-15,,529,561,192
Active,2016-12-07,,Roth 401(k),562,192
Active,2015-12-27,,Traditional IRA,563,192
Active,2015-07-23,,Brokerage,564,192
Active,2008-09-30,,Brokerage,565,193
Active,2009-06-01,,Traditional IRA,566,193
Active,2016-09-25,,Roth IRA,567,193
Active,2008-03-01,,529,568,193
Inactive,2014-08-12,2018-03-19,Traditional IRA,569,194
Active,2013-06-19,,Roth IRA,570,194
Active,2006-10-22,,529,571,195
Active,2005-10-30,,Brokerage,572,195
Active,2017-03-17,,Roth IRA,573,195
Inactive,2015-05-13,2018-01-21,Brokerage,574,196
Active,2016-12-04,,Roth IRA,575,196
Active,2016-08-04,,Roth 401(k),576,196
Active,2015-11-16,,Traditional IRA,577,196
Active,2015-08-05,,Roth 401(k),578,197
Active,2012-05-17,,Traditional IRA,579,197
Active,2014-06-01,,Roth IRA,580,197
Active,2011-09-05,,Traditional IRA,581,198
Active,2012-04-17,,Traditional IRA,582,199
Active,2016-06-14,,529,583,200
Active,2017-03-25,,Roth IRA,584,200
Active,2017-11-10,,Brokerage,585,200
Active,2014-03-02,,Roth 401(k),586,200
Active,2018-04-21,,Traditional IRA,587,200
Active,2011-11-10,,Traditional IRA,588,201
Active,2014-04-18,,Roth IRA,589,201
Inactive,2018-03-02,2018-10-19,529,590,201
Active,2010-06-09,,Roth 401(k),591,201
Active,2010-06-30,,Brokerage,592,201
Active,2012-08-05,,Roth IRA,593,202
Inactive,2017-01-05,2018-09-18,Traditional IRA,594,202
Active,2018-05-11,,529,595,202
Inactive,2015-09-09,2017-01-17,Traditional IRA,596,203
Active,2015-11-16,,Brokerage,597,203
Inactive,2016-06-08,2017-12-14,Traditional IRA,598,204
Active,2015-12-24,,529,599,204
Inactive,2016-10-26,2017-10-30,Roth 401(k),600,204
Active,2017-10-29,,Brokerage,601,204
Active,2008-06-05,,Roth 401(k),602,205
Active,2007-01-28,,Brokerage,603,205
Inactive,2013-05-05,2018-04-23,Roth IRA,604,205
Active,2018-05-16,,Traditional IRA,605,205
Active,2011-10-01,,Brokerage,606,206
Active,2007-12-04,,529,607,206
Active,2001-02-27,,Roth IRA,608,206
Active,2017-08-25,,529,609,207
Active,2017-10-29,,Brokerage,610,207
Active,2015-07-11,,Traditional IRA,611,207
Active,2014-04-14,,Roth 401(k),612,207
Active,2018-03-27,,Roth IRA,613,207
Active,2016-09-04,,Roth 401(k),614,208
Active,2014-08-07,,Roth IRA,615,208
Active,2008-02-18,,Traditional IRA,616,208
Active,2010-10-10,,529,617,208
Active,2017-07-21,,Roth IRA,618,209
Active,2013-09-10,,Traditional IRA,619,209
Active,2005-03-17,,Brokerage,620,209
Active,2014-03-29,,Roth 401(k),621,209
Active,2014-04-22,,529,622,209
Active,2018-06-08,,Roth 401(k),623,210
Active,2003-11-03,,Brokerage,624,211
Inactive,2007-05-15,2017-09-10,Traditional IRA,625,211
Active,2006-01-01,,Roth IRA,626,211
Active,2015-10-16,,Brokerage,627,212
Active,2011-10-07,,Traditional IRA,628,213
Active,2014-06-15,,Roth 401(k),629,213
Active,2013-04-23,,529,630,213
Active,2014-11-14,,Roth IRA,631,213
Active,2018-06-22,,Traditional IRA,632,214
