status,open,close,type,account_id,client_id,value
Active,2011-09-03,,Roth IRA,40,16,5769.410979581797
Inactive,2015-10-03,2016-08-08,Brokerage,41,16,19672.49425903546
Active,2016-04-18,,529,42,17,2766.211097438977
Inactive,2012-01-04,2013-01-09,Brokerage,43,18,19416.398544480246
Active,2017-03-02,,529,44,18,9610.444356735443
Active,2015-10-09,,Roth 401(k),45,18,1008.3615926550866
Active,2011-10-17,,Roth IRA,46,18,4111.416245032866
Active,2017-09-02,,Traditional IRA,47,19,86316.62821045883
Active,2015-08-09,,Roth IRA,48,19,12939.85594123008
Active,2016-03-04,,Brokerage,49,19,4694.976300624738
Active,2017-03-07,,Roth 401(k),50,19,2505.5433122472195
Active,2015-09-05,,Roth 401(k),51,20,228481.4038328093
Active,2018-01-02,,Roth IRA,52,20,15766.35588127435
Active,2016-04-13,,Traditional IRA,53,20,24382.259803170236
Active,2013-02-15,,Roth IRA,54,21,22366.7442644262
Active,2013-10-12,,Traditional IRA,55,21,23644.875347112276
Active,2013-09-27,,Roth 401(k),56,21,16046.104454734286
Active,2015-04-22,,Roth IRA,57,22,11112.999736660371
Active,2012-02-03,,Roth 401(k),58,22,2748.0972227207667
Active,2013-12-08,,Brokerage,59,23,18491.100319521505
Active,2017-06-13,,Roth 401(k),60,23,4449.077851000107
Active,2018-02-04,,Traditional IRA,61,23,5013.773385070999
Active,2016-05-14,,529,62,23,14395.901122230693
Active,2013-04-25,,Roth IRA,63,23,24590.959814650472
Inactive,2015-07-15,2018-10-01,529,64,24,19679.477793869053
Active,2018-06-22,,Traditional IRA,65,24,14489.917303819306
Active,2017-09-24,,Brokerage,66,24,16973.761898320136
Active,2015-08-04,,Roth IRA,67,24,20576.65336319878
Inactive,2018-04-01,2018-09-03,Traditional IRA,68,25,17902.59930483529
Active,2017-09-16,,Roth 401(k),69,26,11482.499828849932
Inactive,2017-03-26,2017-07-29,Roth IRA,70,26,23720.604629665737
Active,2017-02-06,,Traditional IRA,71,26,9826.7311482146
Active,2016-04-23,,Brokerage,72,26,11665.427278012517
Active,2016-08-19,,Roth 401(k),73,27,8939.65491223878
Active,2015-05-04,,Roth IRA,74,27,11472.58544916102
Inactive,2017-10-25,2018-05-20,529,75,27,3365.0508355742295
Active,2017-06-15,,Brokerage,76,27,14531.222810630776
Active,2014-07-06,,Traditional IRA,77,27,224040.67035064552
Active,2014-08-01,,Roth IRA,78,28,17790.516422016626
Active,2009-02-12,,Roth 401(k),79,28,10982.871917691675
Active,2017-06-03,,Roth IRA,80,29,1948.3170093115793
Active,2012-11-04,,Brokerage,81,30,18709.615540471113
Active,2018-01-26,,Traditional IRA,82,31,5253.200954340378
Active,2013-12-02,,Brokerage,83,31,17043.114913432993
Active,2014-12-07,,Roth IRA,84,31,15889.849441969756
Active,2018-03-08,,Roth 401(k),85,31,117063.00797220191
Active,2016-06-29,,529,86,31,15815.975464161033
Active,2016-04-12,,Brokerage,87,32,17717.71946461072
Active,2013-11-04,,Roth IRA,88,32,6538.835818980704
Active,2012-09-28,,Roth 401(k),89,32,14779.942427942316
Inactive,2010-04-30,2016-06-23,529,90,32,11805.035730737576
Active,2017-02-11,,Roth 401(k),91,33,17858.975845483565
Inactive,2015-10-22,2018-08-14,Traditional IRA,92,33,6410.962523321098
Active,2010-02-10,,Roth IRA,93,34,16679.90045180929
Active,2018-05-17,,Roth 401(k),94,35,3214.728756286486
Active,2016-05-24,,529,95,36,5632.554272791341
Active,2008-09-04,,Traditional IRA,96,36,184465.39734328887
Active,2013-04-27,,Roth 401(k),97,36,23379.51216549561
Active,2018-06-01,,Roth 401(k),98,37,3552.5507838026424
Inactive,2016-12-05,2018-06-06,Traditional IRA,99,37,19188.80048655454
Active,2017-04-19,,529,100,37,18416.90595869241
Active,2017-11-01,,Roth IRA,101,37,5701.88590709013
Active,2017-11-21,,Brokerage,102,37,10886.654480568992
Active,2011-11-22,,Traditional IRA,103,38,18769.019970205154
Active,2003-04-08,,Roth 401(k),104,39,17942.90362704595
Active,2016-11-26,,Traditional IRA,105,39,6924.904236863826
Active,2016-04-27,,Brokerage,106,39,10399.47844695621
Active,2016-01-23,,Traditional IRA,107,40,1442.6099951924823
Active,2007-07-15,,Roth IRA,108,40,65671.17900348414
Inactive,2015-05-15,2016-09-17,529,109,40,7132.243855364625
Active,2009-06-17,,Roth 401(k),110,40,67502.98125086621
Active,2010-11-05,,Roth 401(k),111,41,4357.562824919552
Active,2007-08-21,,Brokerage,112,41,7378.310340698175
Inactive,2013-04-11,2014-10-16,Traditional IRA,113,41,9943.814322488419
Active,2009-08-09,,Roth IRA,114,41,23007.09032627394
Active,2006-06-05,,Roth 401(k),115,42,13560.593635869234
Active,2014-06-22,,529,116,42,187352.85163866827
Active,2013-12-25,,Roth IRA,117,42,4663.80652116608
Active,2017-12-06,,Brokerage,118,42,15953.09171746382
Active,2012-11-01,,Traditional IRA,119,42,2511.2518546936685
Active,2014-08-18,,529,120,43,8424.631631354907
Active,2008-02-09,,529,121,44,8427.430568160373
Active,2006-05-06,,Roth IRA,122,45,203071.5561710157
Active,2015-11-05,,Traditional IRA,123,45,8581.003593368463
Active,2013-04-15,,Roth 401(k),124,45,24475.16462935475
Inactive,2011-04-10,2015-05-15,Brokerage,125,45,19534.87464522065
Active,2012-05-08,,529,126,45,8054.904305050214
Inactive,2014-09-22,2016-12-06,529,127,46,229046.40589268215
Active,2009-11-11,,Brokerage,128,46,8185.919005226171
Active,2015-10-11,,Brokerage,129,47,4486.326726330484
Active,2018-06-09,,529,130,47,13820.830852606337
Inactive,2016-12-12,2017-05-14,Roth 401(k),131,47,12499.277115233064
Active,2017-12-17,,Roth IRA,132,47,13283.252959016627
Active,2015-10-28,,Traditional IRA,133,47,1594.5262631851351
Active,2016-07-24,,Traditional IRA,134,48,7786.876232103644
Active,2010-08-08,,Roth 401(k),135,48,15034.272874317156
Active,2015-10-18,,Roth IRA,136,48,9906.414628868695
Active,2015-12-26,,Brokerage,137,48,24123.97080547934
Active,2015-03-20,,Roth 401(k),138,49,13742.055462268667
Active,2014-09-05,,Traditional IRA,139,49,19105.837045712527
Active,2014-09-26,,Roth IRA,140,49,8488.10021149653
Active,2007-05-15,,Brokerage,141,49,216706.84961970334
Inactive,2016-11-08,2017-10-27,529,142,50,16646.229254074817
Active,2017-10-14,,Traditional IRA,143,50,15139.750972576921
Active,2010-02-04,,Roth 401(k),144,50,13499.786462227688
Active,2018-07-15,,Brokerage,145,50,7819.6883301521475
Inactive,2007-05-16,2008-04-24,Roth IRA,146,50,23636.443840216223
Active,2005-10-25,,Brokerage,147,51,6901.597086072141
Active,2005-01-26,,Traditional IRA,148,51,2256.7465275658956
Active,2007-10-26,,529,149,51,170221.30216364347
Active,2006-10-20,,529,150,52,17002.1699787038
Active,2014-06-26,,Roth 401(k),151,53,14307.773436333313
Active,2013-12-13,,529,152,53,12847.500694153137
Active,2011-05-28,,Traditional IRA,153,53,12851.903502457022
Active,2018-07-22,,529,154,54,16485.07833885114
Active,2017-09-03,,Roth IRA,155,54,19682.333073414145
Inactive,2017-11-21,2018-08-27,Traditional IRA,156,54,12476.331020981
Active,2018-01-04,,Brokerage,157,54,157278.5871597401
Inactive,2016-07-22,2017-08-11,Brokerage,158,55,5544.65738700689
Active,2015-12-14,,529,159,55,123999.30544365909
Active,2013-06-12,,Roth 401(k),160,55,12026.736226810306
Inactive,2014-11-02,2016-09-04,Roth IRA,161,55,6628.0196507379815
Active,2016-05-23,,Traditional IRA,162,55,10131.022928976487
Active,2013-03-03,,Roth IRA,163,56,11815.20238932809
Active,2011-12-11,,Roth 401(k),164,56,20591.920645709197
Active,2013-10-20,,529,165,56,16831.159063079573
Active,2015-06-28,,Roth IRA,166,57,4264.814912002619
Active,2013-12-23,,Brokerage,167,57,16808.828507313898
Active,2013-07-12,,529,168,57,2702.2396969475803
Active,2003-12-10,,Roth 401(k),169,58,2269.7500258672962
Active,2014-09-30,,Brokerage,170,58,16583.641818494576
Active,2002-12-24,,Traditional IRA,171,58,7956.740925438804
Active,2002-02-03,,Roth IRA,172,58,9226.007938077808
Active,2008-08-13,,Roth IRA,173,59,8422.33595669267
Active,2018-05-08,,Roth 401(k),174,59,20593.812381442647
Active,2014-03-21,,529,175,60,81300.69785903422
Active,2013-11-04,,Traditional IRA,176,61,12409.406656774465
Active,2012-08-28,,529,177,61,17695.666270294056
Active,2017-08-27,,Roth IRA,178,62,8585.081523094865
Active,2017-02-01,,Roth 401(k),179,62,4028.8248117453245
Inactive,2017-06-01,2017-11-21,Brokerage,180,62,1222.0641034630173
Active,2010-03-10,,Roth 401(k),181,63,8654.555414124585
Active,2009-12-17,,529,182,63,5723.156884705814
Active,2013-05-21,,Traditional IRA,183,63,295839.4359521223
Active,2011-11-14,,529,184,64,24148.592535414085
Active,2007-08-28,,Brokerage,185,64,59840.97037549392
Active,2017-03-26,,Roth IRA,186,64,205826.58530401727
Active,2018-02-26,,Traditional IRA,187,64,5884.059965076398
Active,2014-05-21,,Roth IRA,188,65,6496.719288316543
Active,2015-02-09,,Brokerage,189,65,7377.581585778291
Active,2004-09-06,,Brokerage,190,66,2693.70637204951
Active,2004-11-20,,Roth IRA,191,66,14938.013985316426
Active,2016-07-26,,Roth 401(k),192,66,21198.686439965506
Active,2014-09-03,,529,193,66,18698.163937321377
Inactive,2010-08-31,2016-05-23,Roth 401(k),194,67,5858.012413803671
Active,2017-04-13,,Roth IRA,195,67,2302.8050142243883
Active,2016-10-02,,529,196,67,16186.523512489748
Active,2002-07-11,,529,197,68,24761.85628806426
Active,2001-11-19,,Roth IRA,198,69,20872.67558466861
Active,2016-06-19,,Traditional IRA,199,69,15259.105802715
Active,2008-10-17,,Brokerage,200,70,2084.391737925408
Active,2013-02-17,,Traditional IRA,201,70,6465.575662111437
Active,2015-04-26,,Traditional IRA,202,71,239942.60426679926
Active,2016-09-16,,Traditional IRA,203,72,9999.45179531964
Active,2015-06-02,,Roth IRA,204,72,15739.857857512667
Active,2013-03-18,,Brokerage,205,72,12589.977985905647
Active,2018-05-30,,529,206,72,8527.478545647089
Active,2018-01-14,,Traditional IRA,207,73,4152.687173063326
Active,2018-05-25,,Roth 401(k),208,73,8784.028484438457
Active,2016-12-22,,Roth IRA,209,74,18673.363118411966
Active,2018-04-10,,Roth 401(k),210,74,23333.379304553313
Active,2017-06-15,,529,211,74,20020.369889417892
Active,2018-03-25,,Traditional IRA,212,74,20917.689683172055
Active,2018-05-01,,Brokerage,213,74,20876.78765475178
Active,2014-07-01,,Roth IRA,214,75,1232.055822802872
Active,2016-04-14,,Traditional IRA,215,75,6406.334893997511
Active,2016-10-27,,Roth 401(k),216,75,5371.844193599881
Active,2015-08-27,,Brokerage,217,75,16881.848662250148
Active,2017-01-23,,529,218,75,1519.1136358682406
Active,2011-06-30,,Roth IRA,219,76,13347.584762620512
Active,2018-01-17,,Traditional IRA,220,77,19166.03180449251
Active,2017-02-24,,Brokerage,221,77,11762.93434285963
Active,2015-03-01,,529,222,78,4747.930786419869
Active,2011-09-20,,Roth IRA,223,78,18020.57068841324
Active,2009-07-26,,Traditional IRA,224,78,3356.370010413398
Active,2018-01-21,,Traditional IRA,225,79,20359.456873104402
Active,2012-09-07,,Traditional IRA,226,80,24904.138685128553
Active,2005-08-07,,529,227,80,14724.987398904332
Active,2003-11-26,,Roth 401(k),228,80,4634.680583699508
Active,2014-12-05,,Roth 401(k),229,81,18705.47248994492
Active,2018-06-17,,Roth IRA,230,82,20367.045815164412
Active,2017-01-31,,Traditional IRA,231,82,2395.4932616231144
Active,2018-01-11,,Roth 401(k),232,82,8495.810805217896
Active,2007-07-20,,Traditional IRA,233,83,14940.851081200424
Active,2016-09-21,,Roth IRA,234,83,24425.10559751891
Inactive,2012-09-17,2013-10-22,529,235,83,14643.647458144167
Inactive,2015-12-31,2017-01-19,Roth IRA,236,84,10218.30114528482
Active,2008-11-05,,Roth 401(k),237,84,8674.536673822236
Active,2009-03-09,,Traditional IRA,238,84,5695.266430049613
Active,2013-09-23,,529,239,85,257348.2476633288
Active,2010-11-30,,Brokerage,240,85,1332.0856771573003
Active,2010-03-04,,Roth IRA,241,85,18776.20548707779
Active,2012-07-17,,Roth 401(k),242,85,15626.159503300645
Active,2017-04-23,,Roth IRA,243,86,4005.355616246206
Active,2002-04-18,,Brokerage,244,87,10550.565260227551
Active,2002-11-10,,Roth IRA,245,87,5699.149985611614
Active,2012-03-12,,Traditional IRA,246,87,4882.051435921254
Active,2011-07-20,,529,247,87,276325.67874550546
Active,2016-03-11,,Traditional IRA,248,88,9681.412734618987
Active,2018-03-15,,529,249,88,1897.53409601128
Active,2017-04-03,,Brokerage,250,88,221976.17333550064
Active,2017-05-18,,Roth IRA,251,88,10294.929212206955
Inactive,2017-09-21,2018-07-21,Roth 401(k),252,88,2952.014776445804
Active,2016-04-24,,529,253,89,13224.60895511639
Active,2016-11-21,,Brokerage,254,89,19939.22432881609
Active,2017-01-22,,Roth IRA,255,89,2071.324182477618
Active,2016-02-17,,Roth 401(k),256,89,1328.796007462895
Active,2017-10-22,,Traditional IRA,257,89,4960.214114360826
Active,2014-04-29,,Brokerage,258,90,16809.916544003085
Active,2016-08-07,,529,259,90,147117.00151287654
Active,2013-11-22,,Traditional IRA,260,90,14958.404408089686
Active,2014-04-06,,Roth 401(k),261,90,1652.853069253962
Active,2005-01-15,,Roth IRA,262,90,16350.095886460605
Active,2017-10-24,,Traditional IRA,263,91,15908.060635889327
Active,2012-05-10,,Roth IRA,264,91,3154.8892602549017
Active,2014-04-30,,Brokerage,265,91,12832.798789804216
Active,2011-11-19,,529,266,91,7918.079732382915
Active,2011-08-05,,Roth IRA,267,92,10826.178789851163
Active,2011-11-10,,Brokerage,268,92,18648.869390627122
Active,2011-07-27,,529,269,93,2027.0822744517716
Inactive,2012-11-23,2017-08-02,Roth IRA,270,93,20898.70292598847
Active,2011-10-12,,Traditional IRA,271,93,76316.67467963957
Active,2018-06-13,,Brokerage,272,93,20406.39698277891
Active,2016-03-05,,Brokerage,273,94,5807.243640447408
Inactive,2015-07-12,2018-07-20,529,274,94,15402.16737850663
Active,2015-05-22,,Roth IRA,275,94,10157.59824673755
Active,2004-10-24,,Roth 401(k),276,95,22797.718297877687
Active,2004-11-30,,Traditional IRA,277,95,16580.874778467492
Active,2009-05-29,,Roth IRA,278,95,94018.92720822498
Active,2015-11-26,,529,279,95,18592.08681351321
Inactive,2008-12-30,2015-07-09,Brokerage,280,95,154499.8081200977
Active,2017-11-24,,Traditional IRA,281,96,14767.120233873353
Inactive,2001-11-15,2017-10-08,Traditional IRA,282,97,5536.5598671305825
Active,2001-11-26,,Brokerage,283,97,134558.62349848042
Active,2015-12-27,,Brokerage,284,98,146301.51232974304
Inactive,2015-12-25,2017-05-12,Traditional IRA,285,99,6913.403455627227
Active,2015-05-01,,Roth IRA,286,99,2204.6363890235107
Active,2014-06-07,,529,287,99,13741.064676956097
Active,2016-03-18,,Roth 401(k),288,99,20862.13976212962
Active,2013-08-22,,Brokerage,289,100,15960.325671548333
Active,2015-05-07,,Traditional IRA,290,101,23453.40798037672
Active,2011-07-16,,Brokerage,291,101,17747.68332569472
Active,2010-12-12,,Roth 401(k),292,101,23052.011924528124
Active,2010-12-05,,529,293,101,11383.568682425192
Active,2014-04-24,,Roth IRA,294,101,5588.3882544538465
Active,2006-09-13,,Roth IRA,295,102,238941.20482167936
Active,2014-05-19,,Roth 401(k),296,102,3980.654950288206
Active,2013-08-27,,Brokerage,297,102,2988.508819694631
Active,2003-05-05,,Traditional IRA,298,103,12220.488824870667
Inactive,2004-02-02,2010-11-02,Roth 401(k),299,103,8343.615370266354
Active,2017-08-16,,Brokerage,300,104,184628.41559722472
Active,2017-10-08,,Brokerage,301,105,20230.499970750607
Inactive,2015-06-14,2017-11-14,Roth 401(k),302,106,12809.475115462632
Active,2013-05-18,,Traditional IRA,303,106,12124.788901758557
Active,2015-11-11,,529,304,107,24036.083265343572
Active,2016-06-23,,Traditional IRA,305,107,8233.253676691234
Active,2011-12-29,,529,306,108,10785.766268240255
Active,2013-08-14,,Roth IRA,307,108,269450.3612079704
Active,2017-02-10,,Traditional IRA,308,108,6223.532377703267
Active,2012-07-20,,Roth 401(k),309,108,16693.86573900131
Active,2016-06-12,,Brokerage,310,108,17475.17918120441
Active,2014-06-13,,529,311,109,4901.524702277598
Active,2002-05-19,,Roth 401(k),312,109,99715.64958003377
Active,2002-06-23,,Brokerage,313,109,7636.294943725181
Active,2003-10-11,,Traditional IRA,314,109,6938.442065994718
Active,2014-01-27,,Roth IRA,315,109,7163.13777898788
Active,2018-06-09,,Traditional IRA,316,110,6926.89802715072
Inactive,2018-03-12,2018-07-10,529,317,110,1852.6987760473926
Active,2018-02-12,,Brokerage,318,110,3698.78734919981
Active,2017-02-05,,Roth 401(k),319,110,4200.570716560575
Active,2017-10-26,,Traditional IRA,320,111,3375.3947815379142
Active,2017-03-20,,Roth 401(k),321,111,4508.81326994433
Active,2008-12-08,,Roth IRA,322,112,56541.21836921573
Active,2013-01-14,,Roth 401(k),323,112,17668.774322478297
Active,2001-03-20,,529,324,113,294806.7507238716
Active,2001-06-02,,Roth IRA,325,113,14884.773053462606
Inactive,2008-02-20,2012-05-15,Roth 401(k),326,114,11252.932075089717
Active,2010-01-31,,Traditional IRA,327,114,24087.740597009106
Active,2018-07-02,,Roth IRA,328,114,5819.366368989595
Active,2011-02-27,,529,329,114,9215.79066055323
Active,2009-08-18,,Roth IRA,330,115,22398.62734092971
Active,2007-10-07,,Roth 401(k),331,115,17212.675637585726
Active,2013-04-21,,529,332,115,11419.529086755236
Active,2015-11-27,,Brokerage,333,115,23597.397314785932
Active,2015-10-12,,Traditional IRA,334,115,9142.128940921331
Active,2017-03-23,,Roth 401(k),335,116,4001.8583054194964
Active,2017-01-24,,Roth IRA,336,116,18886.10698089535
Active,2013-07-27,,Traditional IRA,337,116,24785.70578646755
Active,2018-04-20,,Brokerage,338,116,8965.810894653227
Inactive,2018-05-12,2018-10-12,Brokerage,339,117,7032.829183157124
Active,2016-07-01,,Roth IRA,340,117,10307.964482989606
Active,2016-06-18,,Roth 401(k),341,117,23682.987545505344
Active,2018-07-15,,529,342,117,23399.76827464777
Inactive,2016-10-03,2017-09-30,Traditional IRA,343,117,10015.634369038642
Active,2017-04-07,,Brokerage,344,118,6553.534875859158
Active,2005-05-11,,Roth IRA,345,118,10531.817400592507
Active,2007-03-20,,Traditional IRA,346,118,179772.5445550285
Active,2016-02-28,,529,347,118,16361.097506097616
Active,2017-04-13,,Roth 401(k),348,118,7962.449047859297
Active,2012-12-29,,Brokerage,349,119,18220.014007735124
Active,2018-02-16,,Traditional IRA,350,119,21638.544636923663
Active,2012-02-26,,Roth IRA,351,119,299867.3021946688
Active,2016-10-19,,Roth 401(k),352,119,23887.914862444166
Active,2013-12-15,,Brokerage,353,120,8390.65343942757
Active,2013-11-05,,Roth IRA,354,120,24681.26833490913
Active,2017-04-16,,Roth 401(k),355,120,10347.428189897166
Active,2017-07-19,,529,356,120,14776.244461359796
Active,2017-10-04,,Traditional IRA,357,120,14406.452270138478
Active,2002-11-01,,Traditional IRA,358,121,24002.827816921534
Active,2002-03-21,,Brokerage,359,121,20040.681004310216
Active,2015-09-15,,529,360,121,22621.32975831878
Active,2009-05-04,,Roth IRA,361,121,17152.8248328951
Active,2011-01-11,,Roth 401(k),362,122,1084.5644942655967
Active,2017-08-11,,Traditional IRA,363,123,19143.961173690288
Active,2018-06-22,,Roth IRA,364,123,5578.231214367057
Active,2017-02-17,,Roth IRA,365,124,129258.45185109349
Active,2013-02-03,,Traditional IRA,366,124,12765.667216757629
Active,2014-10-02,,529,367,125,10931.353642191858
Active,2013-08-18,,Roth IRA,368,125,1581.396383086414
Active,2014-12-24,,Brokerage,369,125,15477.445984137747
Active,2017-07-05,,Traditional IRA,370,125,22370.06664764454
Active,2014-03-10,,Roth 401(k),371,125,226679.7439854195
Active,2015-09-12,,Roth 401(k),372,126,16659.62766692484
Active,2003-11-02,,Traditional IRA,373,126,4465.704750364238
Active,2016-10-09,,Roth IRA,374,126,17210.06521917669
Active,2009-07-27,,Brokerage,375,126,19377.696536718457
Active,2008-10-13,,529,376,126,8994.257096032143
Active,2008-04-08,,Roth IRA,377,127,19154.67576210365
Active,2012-12-28,,Roth 401(k),378,127,16887.397521048173
Active,2015-08-15,,Traditional IRA,379,127,4453.904306011571
Active,2010-04-18,,529,380,127,1759.5599418878837
Active,2016-04-06,,Brokerage,381,128,19700.94962909462
Active,2015-02-02,,Roth IRA,382,129,7926.850800269478
Active,2013-12-16,,529,383,129,12010.910060431057
Active,2013-05-20,,Roth 401(k),384,130,12225.172139072873
Active,2014-04-05,,529,385,131,12810.280687080316
Active,2017-11-22,,Brokerage,386,131,18498.42826933656
Active,2018-03-07,,Roth 401(k),387,131,14716.305180233245
Active,2015-01-15,,Roth IRA,388,131,7251.066893883004
Active,2016-05-07,,Traditional IRA,389,131,5920.976452045633
Active,2015-04-04,,Roth IRA,390,132,10272.784334394368
Active,2016-06-14,,Brokerage,391,132,237100.38538480038
Active,2016-11-11,,Roth 401(k),392,132,23213.685055360318
Active,2017-08-16,,Traditional IRA,393,132,12687.623856300595
Active,2017-11-08,,Roth 401(k),394,133,160170.32389886578
Active,2017-12-19,,Roth IRA,395,133,23371.72534146831
Active,2018-03-10,,Brokerage,396,133,20912.626740439002
Active,2017-11-05,,Traditional IRA,397,133,15683.425713690114
Active,2010-10-01,,Roth IRA,398,134,24599.37125078554
Active,2007-08-23,,Traditional IRA,399,134,6302.068921743294
Active,2004-08-19,,Roth 401(k),400,134,21774.603543147627
Active,2018-06-12,,529,401,135,21548.42806257341
Active,2018-06-09,,529,402,136,8368.097883151884
Active,2017-11-07,,Roth 401(k),403,136,9896.33980858209
Active,2017-09-10,,Traditional IRA,404,136,14570.688013548173
Active,2018-06-07,,Traditional IRA,405,137,11689.866067363751
Active,2018-03-01,,Brokerage,406,137,19767.195529677578
Active,2015-09-23,,529,407,138,8265.302418625572
Active,2016-04-13,,Roth IRA,408,138,8043.356170802634
Active,2009-12-31,,Roth 401(k),409,138,17077.297897643046
Active,2012-04-20,,Traditional IRA,410,138,16284.688607756985
Active,2017-03-23,,529,411,139,20708.564039797144
Active,2016-07-31,,Roth IRA,412,140,4163.029428125035
Active,2016-05-29,,Brokerage,413,140,3723.66411237756
Active,2016-06-03,,529,414,140,14249.898816190122
Active,2017-10-29,,Roth 401(k),415,140,23655.072802654482
Active,2010-12-28,,Brokerage,416,141,12528.507927961737
Active,2010-08-31,,Traditional IRA,417,141,13742.476152812225
Inactive,2017-08-25,2018-05-05,529,418,141,21107.31977659779
Inactive,2011-08-02,2012-04-03,Roth IRA,419,141,11133.101194338522
Active,2013-05-30,,Roth 401(k),420,142,15284.666149832154
Active,2016-07-06,,529,421,142,15290.091332568914
Active,2018-02-23,,Roth IRA,422,142,7974.87689544776
Active,2016-01-26,,Traditional IRA,423,143,9309.559146537436
Active,2014-06-16,,Roth IRA,424,143,15261.776430558746
Active,2016-09-15,,529,425,143,20121.169966236754
Active,2016-08-14,,Brokerage,426,143,23640.65445993604
Active,2015-05-22,,Roth IRA,427,144,8003.318865740881
Active,2009-11-22,,Roth 401(k),428,144,3109.7697248146023
Active,2008-08-23,,529,429,144,5917.424242627288
Active,2004-11-27,,Brokerage,430,144,1514.8202285517264
Active,2016-08-17,,Traditional IRA,431,145,7633.69166483433
Active,2018-04-23,,Roth 401(k),432,145,21336.324163867303
Active,2013-02-15,,Brokerage,433,145,20482.058990456
Active,2016-07-14,,529,434,145,11915.909394730024
Active,2017-05-25,,Roth IRA,435,145,255025.3414917711
Active,2014-06-02,,Roth IRA,436,146,14302.266674039909
Active,2017-12-28,,Brokerage,437,146,24306.573081166847
Active,2015-07-19,,529,438,146,24388.68532323342
Active,2015-10-03,,Roth 401(k),439,146,54133.43957300269
Active,2017-11-09,,Traditional IRA,440,146,12707.828666837766
Active,2012-02-21,,Roth 401(k),441,147,3637.568302268459
Active,2015-10-24,,529,442,147,24615.396525034583
Active,2016-05-18,,Roth IRA,443,147,17763.939972521028
Active,2014-10-06,,Traditional IRA,444,147,12436.08973936224
Active,2015-09-05,,Brokerage,445,147,2887.8882806876945
Active,2018-04-16,,Roth 401(k),446,148,8262.971950193161
Active,2016-03-06,,529,447,148,13360.456503151294
Active,2014-02-25,,Traditional IRA,448,148,18270.645148029776
Active,2016-05-13,,Brokerage,449,148,1496.0019443259603
Active,2017-09-22,,Roth IRA,450,148,24635.40734625957
Active,2014-06-06,,Roth IRA,451,149,9656.060165468478
Active,2018-02-13,,529,452,149,17260.539455379287
Active,2017-06-15,,Roth 401(k),453,150,10421.667005708037
Active,2018-03-03,,Traditional IRA,454,150,23994.058631905013
Active,2015-08-10,,Brokerage,455,150,4784.642766723968
Active,2016-02-16,,Roth IRA,456,150,2210.531938498106
Active,2018-02-25,,529,457,150,226582.2022768516
Active,2014-04-15,,Roth IRA,458,151,15414.312796192828
Active,2006-07-01,,Brokerage,459,151,6109.578273960573
Active,2004-08-20,,Traditional IRA,460,151,17857.803994047794
Active,2016-05-29,,Traditional IRA,461,152,21224.052969639244
Active,2012-02-01,,529,462,153,23088.11413962165
Active,2010-08-24,,Roth 401(k),463,153,1210.3661769791768
Active,2004-05-03,,Brokerage,464,153,17676.991191450874
Active,2016-06-15,,529,465,154,21409.151129099177
